id	question	label
1385	Who killed more people , Hitler or Stalin ?	HUM
1386	What caused Shea & Gould to close their L.A. office ?	DESC
1387	What 's the only mammal that can 't jump ?	ENTY
1388	What U.S. state has the most blondes ?	LOC
1389	What war saw battles at Parrot 's Beak and Black Virgin ?	ENTY
1390	What was the U.S. highway death toll in 1969 ?	NUM
1391	What does the name Kelly mean ?	DESC
1392	What is a phalanx ?	DESC
1393	What mustachioed comedian portrayed Frankie in North to Alaska ?	HUM
1394	What does each of the utilities cost in Monopoly ?	NUM
1395	What actor and World War II airman had a $5 , 0 bounty put on his head by Hermann Goering ?	HUM
1396	What does e.g. stand for ?	ABBR
1397	What is the name of the medical condition in which a baby is born without a brain ?	ENTY
1398	How do storms form ?	DESC
1399	Who is Nicolo Paganini ?	HUM
1400	What city is often called The Insurance Capital of the World ?	LOC
1401	What are the three animals in Sheila Burnford 's The Incredible Journey ?	ENTY
1402	Who portrayed Dracula in Hammer Studios ' films ?	HUM
1403	Name one of the Seven Wonders of the Ancient World .	ENTY
1404	When were fish first believed to be found on earth ?	NUM
1405	What President 's favorite Biblical quotation was : `` Come now , and let us reason together '' .	HUM
1406	How many elevators do you ride to reach the top floor of the Empire State Building ?	NUM
1407	Name the food company that traveled to Soviet Georgia to film a series of ads .	HUM
1408	What country was Sir Edmund Hillary born in ?	LOC
1409	What 's an infant seal called ?	ENTY
1410	What was the proper Laugh-In respones to : `` Say goodnight , Dick '' ?	DESC
1411	What city was John F. Kennedy nominated for president in ?	LOC
1412	How long does a dog sleep ?	NUM
1413	What 1963 Joseph L. Mankiewicz film cost $28 million ?	ENTY
1414	What Japanese electronics company was named for a coastal city northeast of Tokyo ?	HUM
1415	What can you be fined for having a dog on a beach ?	NUM
1416	Where did the Battle of the Bulge take place ?	LOC
1417	How much will the California be in the year 2000 ?	NUM
1418	What mystery writer penned `` ...the glory that was Greece , and the grandeur that was Rome '' ?	HUM
1419	What state full of milk and honey was the destination in The Grapes of Wrath ?	LOC
1420	What is the tallest building in Japan ?	LOC
1421	Where is Sinn Fein 's headquarters ?	LOC
1422	Name Li 'l Abner 's favorite Indian drink .	ENTY
1423	What are some important events of the 1830 's ?	ENTY
1424	The Iraqis launched their attack on Kuwait on what day ?	NUM
1425	What letter adorns the flag of Rwanda ?	ENTY
1426	What did 8 , CD NNS VBP TO VB NNP POS NN .	ENTY
1427	What is God ?	DESC
1428	What country 's northernmost city is Darwin ?	LOC
1429	What sound does Olympia , Washington , overlook ?	LOC
1430	What TV show chronicled the lives of Katy Holstrum and Congressman Glen Morley ?	ENTY
1431	What Kentucky city calls itself The Horse Center of America ?	LOC
1432	How many penny-farthings are there on a Trivial Pursuit game board ?	NUM
1433	What 's the most abundant element in the sun ?	ENTY
1434	What European country boasts the city of Furth , found where the rivers Rednitz and Pegnitz converge ?	LOC
1435	What U.S. state is Dixville Notch in ?	LOC
1436	Where was the Cisalpine Republic , 1797-185 , ?	LOC
1437	What is the largest shopping mall in the world ?	LOC
1438	What is the protagonist 's name in Dostoevski 's `` The Idiot '' ?	HUM
1439	What penalty space lies between Baltic Avenue and Reading Railroad on a Monopoly board ?	ENTY
1440	What presidential press secretary dismissed Watergate as a third-rate burglary attempt ?	HUM
1441	What is a meerkat ?	DESC
1442	Who was Jean Nicolet ?	HUM
1443	What kind of animal was Winnie the Pooh ?	ENTY
1444	Which of these are authors ?	HUM
1445	What 's the international radio code word for the letter B ?	ENTY
1446	Who was the original Humpty Dumpty ?	HUM
1447	What is cache memory ?	DESC
1448	Aspartame is also known as what ?	ENTY
1449	Where is the location of the Orange Bowl ?	LOC
1450	When is President Nixon 's birthday ?	NUM
1451	What is the origin of the midwest slang , ` you 're darn tootin ' ?	DESC
1452	Whose cupboard was bare ?	HUM
1453	What are the seven seas ?	LOC
1454	What does IBM stand for ?	ABBR
1455	What is the difference between jazz and blues ?	DESC
1456	What is the C programming language ?	DESC
1457	What 's the name of Popeye 's adopted son ?	HUM
1458	Who invented the vacuum cleaner ?	HUM
1459	What is a ` borrow pit ' ?	DESC
1460	What 2th-century fictional character attends Pencey Prep School ?	HUM
1461	How many people in the USA say their number one source of information is the newspaper ?	NUM
1462	Who does Shakespeare 's Antonio borrow 3 , 0 ducats from ?	HUM
1463	Which country is known as `` Big Bear '' ?	LOC
1464	What `` melts in your mouth , not in your hands '' .	ENTY
1465	How many times a day should you take a prescription marked `` q.i.d . '' ?	NUM
1466	What is the origin of the atom ?	DESC
1467	Who is the Voyager project manager ?	HUM
1468	Which radio stations air the Jim Bohannon Radio Talk Show ?	HUM
1469	What two commanders directed the forces in the Battle of El Alamein ?	HUM
1470	Name the creator of `` The Muppets '' .	HUM
1471	How do I e-mail someone at aol.com from yahoo.com ?	DESC
1472	Who replies `` I know '' to Princess Leia 's confession `` I love you '' in The Empire Strikes Back ?	HUM
1473	What is the meaning of the name Ella ?	DESC
1474	What 's the home of the Rockettes ?	LOC
1475	Where can I find all the information I need to know about the English Civil War , 1642-1649 , ?	LOC
1476	What is the name of the firm that makes Spumante ?	HUM
1477	What sport is played on the largest field ?	ENTY
1478	Who won the 1967 Academy Award for Best Actor ?	HUM
1479	What is after death ?	ENTY
1480	Name the first private citizen to fly in space .	HUM
1481	What was football star Elroy Hirsch 's nickname ?	HUM
1482	What singer sings `` Oh Boy '' ?	HUM
1483	How much pizza do Americans eat in a day ?	NUM
1484	What is the website for the USA journal ?	LOC
1485	What army 's motto is Blood and Fire ?	HUM
1486	What kind of patent did Ermal Fraze get in 1963 ?	ENTY
1487	What are you hearing when you put a seashell to your ear ?	DESC
1488	Why are haunted houses popular ?	DESC
1489	Which gender has bigger thighs ?	ENTY
1490	What U.S. state has the second-longest coastline ?	LOC
1491	What state 's home to the Buffalo Bill Historical Center ?	LOC
1492	How fast do cheetahs run ?	NUM
1493	What is Ray Bradbury 's illustrated man illustrated with ?	ENTY
1494	How fast is a 45Mhz processor ?	NUM
1495	What kind of puzzle first appeared in the U.S. in the New York World on December 21 , 1913 ?	ENTY
1496	What count did Alexandre Dumas write about ?	HUM
1497	What are the odds of giving birth to twins ?	NUM
1498	What is the largest natural lake in Pennsylvania ?	LOC
1499	How far is London UK from California ?	NUM
1500	Name the two mystical ravens Odin has at his command .	ENTY
1501	What was the species of Winnie the Pooh ?	ENTY
1502	What is the virus HIV ?	DESC
1503	How many years old is Benny Carter ?	NUM
1504	What Hermann Hesse book gave its name to a rock group ?	ENTY
1505	Where does the Santa Fe Trail begin and end ?	LOC
1506	What book is the follow-up to Future Shock ?	ENTY
1507	What African animals are known as The Big Five ?	ENTY
1508	What is the alphabet for Latin ?	ENTY
1509	What is the fear of frogs ?	ENTY
1510	Which city in Canada is the least-populated ?	LOC
1511	How old is Stevie Wonder ?	NUM
1512	Who was the first Taiwanese President ?	HUM
1513	Who is Luke Skywalker 's father ?	HUM
1514	What does a dipsomaniac crave ?	ENTY
1515	What is the definition of the term `` weapons system '' ?	DESC
1516	What are Christopher Marlowe 's and Shakespeare 's literary contributions to English literature ?	DESC
1517	What is Nero Wolfe 's favorite drink during office hours ?	ENTY
1518	What is the first personal computer company ?	HUM
1519	What is the most efficient way to start a barbeque ?	ENTY
1520	Who was Jane Goodall ?	HUM
1521	Why are there Braille things on the ATM machines that people drive through ?	DESC
1522	Where is the Isle of Man ?	LOC
1523	What book did Aaron Hass write ?	ENTY
1524	What was the death toll at the eruption of Mount Pinatubo ?	NUM
1525	When will the millennium officially begin ?	NUM
1526	Who created the comic strip , `` Garfield '' ?	HUM
1527	Which Vietnamese terrorist is now a UN delegate in Doonesbury ?	HUM
1528	What is real time processing ?	DESC
1529	What do we call the imaginary line along the top of the Rocky Mountains ?	LOC
1530	What country 's capital is Lagos ?	LOC
1531	Where does Ray Bradbury 's Chronicles take place ?	LOC
1532	Who is the current prime minister and president of Russia ?	HUM
1533	Who established a Viking colony in Greenland about 985 ?	HUM
1534	What was the distinguishing mark on the `` Little Rascals '' dog ?	ENTY
1535	What is the latitude and longitude of El Paso , Texas ?	NUM
1536	Where can I get information about cystic fibrosis ?	LOC
1537	Where did Honecker rule ?	LOC
1538	What is the theory of equivalence states ?	DESC
1539	What does a philatelist collect ?	ENTY
1540	What is the life span of the average monkey ?	NUM
1541	How many member states are in the UN ?	NUM
1542	Who shot and killed himself while painting Wheatfield with Crows ?	HUM
1543	What will happen when sodium is put in water ?	DESC
1544	What 's the meaning of UOL ?	DESC
1545	What future President became Senate majority whip under Harry Truman ?	HUM
1546	Who was the architect of Central Park ?	HUM
1547	Which operating system runs on IBM-compatible machines ?	ENTY
1548	What are the dimensions of an ice hockey goal ?	NUM
1549	When was CNN 's first broadcast ?	NUM
1550	What are the signs of a country going into a recession ?	ENTY
1551	What is the circumorbital hematoma ?	DESC
1552	What African country is governed from Ouagadougou ?	LOC
1553	What was the Christian name of the title character in Our Miss Brooks ?	HUM
1554	What hard-of hearing artist painted Sunflowers ?	HUM
1555	Who were the Yankee 's frequent enemies ?	HUM
1556	Who wrote Sons and Lovers ?	HUM
1557	What is the English translation for the word `` caliente '' ?	ENTY
1558	What handicraft requires you to interlace your warp and weft ?	ENTY
1559	What French seaport claims to be The Home of Wines ?	LOC
1560	How long does it take sunlight to reach Earth ?	NUM
1561	How many milliseconds in a second ?	NUM
1562	What Cherokee Indian gave his name to a tree ?	HUM
1563	When were camcorders introduced in Malaysia ?	NUM
1564	What is the chance of conceiving quadruplets ?	NUM
1565	Who was the star of Leave It to Beaver ?	HUM
1566	What countries have the largest armed forces in the world ?	LOC
1567	What was William F. Cody 's better-known name ?	HUM
1568	How do I increase my biceps ' size ?	DESC
1569	Who did Richard Nixon tender his resignation to ?	HUM
1570	Who was Thucydides ?	HUM
1571	How is the element strontium purified ?	DESC
1572	Which of the following rock 'n roll stars has a `` star '' on Hollywood Boulevard ?	HUM
1573	What are tonsils for ?	DESC
1574	What molecules include fluorine , sodium and magnesium ?	ENTY
1575	What was the name of the ball game played by the mayans ?	ENTY
1576	What was the sequel to The Moon 's Balloon ?	ENTY
1577	What is the exchange rate for Australian to American money ?	NUM
1578	What is the origin of the word ` posh ' ?	DESC
1579	How can anyone tell if a female had sexual intercourse ?	DESC
1580	How many states did Richard Nixon carry in 1972 ?	NUM
1581	What basketball maneuver did Bert Loomis invent ?	ENTY
1582	What is a good book to read for people who hate to read ?	ENTY
1583	How many shillings more than 2 were there in a guinea ?	NUM
1584	What does a tarantula eat ?	ENTY
1585	What are the three secondary colors ?	ENTY
1586	What does the name `` Sabrina '' mean ?	DESC
1587	Who took over as conductor of the Boston Pops after Arthur Fiedler 's long reign ?	HUM
1588	What were the trials called which followed World War II ?	ENTY
1589	What is hebephrenia ?	DESC
1590	What Nazi leader killed himself in jail just before he was to be executed as a war criminal ?	HUM
1591	What famous events have happened on March 27 ?	ENTY
1592	Which company claimed to be `` the world 's biggest toy store '' ?	HUM
1593	What brand number graces the black label of a bottle of Jack Daniel 's ?	NUM
1594	What do I call the sons and daughters of my first cousins ?	ENTY
1595	What were the causes of the Civil War ?	DESC
1596	What are Maid-Rites ?	DESC
1597	What city is terrorized by Dracula in The Night Stalker ?	LOC
1598	How can you prevent it ?	DESC
1599	What do the names Andrew and Christina mean ?	DESC
1600	What chocolate bar created by Frank Mars and his wife is often called a Milky Way with peanuts ?	ENTY
1601	Who is the fastest guitarist ?	HUM
1602	What do camels store in their humps ?	ENTY
1603	What is the name of the second space shuttle ?	ENTY
1604	What is the best hospital for orthopedics in the country ?	LOC
1605	What are perfect tenses ?	DESC
1606	What is commonly considered the fifth sense ?	DESC
1607	What was another name for East Germany ?	ENTY
1608	What 's the second-biggest-selling magazine in America ?	ENTY
1609	Who betrayed Norway to the Nazis ?	HUM
1610	Who took the toys donated for the Doodyville Orphans ' Fund and kept them for himself ?	HUM
1611	What is a bourdon tube ?	DESC
1612	What kind of a sports team is the Wisconsin Badgers ?	ENTY
1613	Who were the Picts ?	HUM
1614	What do Caroll Baker , Tammy Grimes , Debbie Reynolds , and Judy Garland all have in common ?	DESC
1615	What is film noir ?	DESC
1616	Who is stationed at Camp Swampy in the comic strips ?	HUM
1617	In what year did China and the Republic of Korea establish diplomatic relations ?	NUM
1618	What causes tuberculosis ?	DESC
1619	How tall is the giraffe ?	NUM
1620	What actor dressed up as Santa Claus and had a once-a-year affair with actress Shelley Winters every Christmas for many years ?	HUM
1621	What animal was the heat-seeking missile called the Sidewinder named for ?	ENTY
1622	How long did it take Stanley to find Livingstone ?	NUM
1623	How much of the nation 's children between the ages of two and eleven watch ` The Simpsons ' ?	NUM
1624	What lake is Sheboygan on ?	LOC
1625	What are a baseball team 's firemen ?	DESC
1626	What is a fear of color ?	ENTY
1627	What Nantucket shipwreck killed more divers exploring it than the 52 people it sank with ?	ENTY
1628	What are the two largest birds on earth ?	ENTY
1629	Name the four stories contained in Edith Wharton 's `` Old New York . ''	ENTY
1630	What is the largest lake in North America ?	LOC
1631	How many people died because of a smoking problem in 1997 ?	NUM
1632	What is chronic constipation a symptom of ?	ENTY
1633	Who wrote The Look of Love after viewing Ursula Andress ?	HUM
1634	What is the name of the American swimmer who won seven gold medals in the 1972 Olympics ?	HUM
1635	Who claims to have the greatest show on earth ?	HUM
1636	What is Head Start ?	DESC
1637	What Honeymooners actress did Television magazine name as 1953 's most promising star ?	HUM
1638	Why can 't women serve in the Navy on board submarines ?	DESC
1639	What did the Yalta Conference lead to ?	ENTY
1640	What dog was dubbed The Mortgage Lifter ?	ENTY
1641	What is saltpeter ?	DESC
1642	What 's the difference between J.D. and LL.M. ?	DESC
1643	What kind of organization is ` Last Chance for Animals ' ?	HUM
1644	What was the role of the Medieval Guild ?	HUM
1645	Silly putty was invented by whom ?	HUM
1646	What should the oven be set at for baking Peachy Oat Muffins ?	ENTY
1647	How can someone become a federal agent ?	DESC
1648	Who invented the paper clip ?	HUM
1649	Whom did Lauren Bacall marry after her husband Humphrey Bogart died ?	HUM
1650	How many times in his 16-year National Basketball Associaton career was John Havlicek a member of the all-star team ?	NUM
1651	What city or state do the most gay men live in ?	LOC
1652	Shea and Gould had an office in Los Angeles for how long before closing it ?	NUM
1653	What word occurs 46 , 227 times in the Bible ?	ENTY
1654	How can you be happy ?	DESC
1655	How would someone go about becoming an organ donor ?	DESC
1656	What year did Degas create the bronze sculpture , `` Fourth Position Front ? ''	NUM
1657	What composer was awarded the Medal of Honor by Franklin D. Roosevelt ?	HUM
1658	How many URL extensions are there ? and what are they ?	NUM
1659	How long after intercourse does it take to find out if you are pregnant ?	NUM
1660	What does U.S.S.R. stand for ?	ABBR
1661	Who created the Fantastic Four , Hulk , and Thor ?	HUM
1662	What is a fear of gravity ?	ENTY
1663	Who is the composer of `` Canon in D Major '' ?	HUM
1664	What did n't Rocky Marciano do in his pro boxing career ?	DESC
1665	Where are all European and American eels born ?	LOC
1666	Who was the author of the novel `` Far From the Madding Crowd '' ?	HUM
1667	What is the definition of ` graphic details ' ?	DESC
1668	What was `` America 's recessed-filter cigarette '' ?	ENTY
1669	What kind of dog is Scooby Doo ?	ENTY
1670	What is the function of the appendix ?	DESC
1671	What department store heir is responsible for raising a three-ton safe from the underwater wreckage of the Andrea Doria ?	HUM
1672	Which sex is twice as likely to contract leprosy ?	ENTY
1673	What was the first town to be chartered in Vermont ?	LOC
1674	What state has the longest Great Lakes shoreline ?	LOC
1675	What U.S. state ends with a G ?	LOC
1676	How many varieties of twins are there ?	NUM
1677	What is a Cartesian Diver ?	DESC
1678	What are the largest libraries in the US ?	LOC
1679	How many people live in the Falklands ?	NUM
1680	Who was Camp David named for ?	HUM
1681	What document did President Andrew Johnson want a copy of placed under his head upon his burial ?	ENTY
1682	Who portrayed `` the man without a face '' in the movie of the same name ?	HUM
1683	What happened in dogtown in 1899 to make that year remembered ?	DESC
1684	What wheel did Blaise Pascal invent in a search for perpetual motion ?	ENTY
1685	How much money was the minimum wage in 1991 ?	NUM
1686	In what year was the first patent for the pull-tab opener on cans obtained ?	NUM
1687	What country boasts the most dams ?	LOC
1688	What is the regular price ?	NUM
1689	What Metropolis landmark was first introduced in the Superman cartoons of the 1940 's ?	LOC
1690	Where can one find Mozambique ?	LOC
1691	How do you recognize anorexia ?	DESC
1692	What Mary Tyler Moore Show regular came into the world as Tadeus Wladyslaw Konopka ?	ENTY
1693	In what city is the US Declaration of Independence located ?	LOC
1694	What is the largest variety of cactus ?	DESC
1695	Who won the first World Series ?	HUM
1696	What did Aaron Hass write ?	ENTY
1697	Who is Samuel Pickering ?	HUM
1698	What was the business of the animated Sky Hawks ?	HUM
1699	Who was credited with saying : `` I never met a man I did n't like '' ?	HUM
1700	What overalls are named for Dungri , a suburb of Bombay ?	ENTY
1701	Why do rooftops give off steam after a big rainstorm ?	DESC
1702	What nationality was Jackson Pollock ?	LOC
1703	How much of the earth 's surface is permanently frozen ?	NUM
1704	What is the connection between New Krypton and Daxam ?	ENTY
1705	When was Queen Victoria born ?	NUM
1706	How many people were executed for Abraham Lincoln 's assassination ?	NUM
1707	What must a Las Vegas blackjack dealer do when he reaches 16 ?	DESC
1708	What is worth seeing in Reims ?	LOC
1709	What type of performer is Ileana Cotrubas ?	ENTY
1710	When was Yemen reunified ?	NUM
1711	What line of candy products included Super Skrunch and Peanut Butter Oompas ?	ENTY
1712	Why did the Anglican church split from the Vatican ?	DESC
1713	What organization has a Security Council ?	HUM
1714	How would I find the price of different organs that have been donated ?	DESC
1715	What Mexican leader was shot dead in 1923 ?	HUM
1716	What does NECROSIS mean ?	ABBR
1717	What is magnetar ?	DESC
1718	What feud ended with a marriage in Kentucky on March 21 , 1891 ?	ENTY
1719	What color is the stripe along each side of a Coho salmon ?	ENTY
1720	What is the federal minimum wage ?	NUM
1721	Mississippi is nicknamed what ?	ENTY
1722	What are the unemployment statistics for the years 1965 and 1990 ?	NUM
1723	Where is Santa Lucia ?	LOC
1724	What female painter produced primitives of rural New England life ?	HUM
1725	What are names of two old men who appear in the serial tv Muppets Show ?	HUM
1726	What war saw battles at Parrot 's Beak and Black Virgin ?	ENTY
1727	What should you yell to hail a taxi in Madrid ?	DESC
1728	What is the horsepower of the shuttle boosters ?	NUM
1729	What year did Apartheid start ?	NUM
1730	Who created Big Ben ?	HUM
1731	What city is found in the city of OZ ?	LOC
1732	What ever happened to the once popular Yale Lock Company ?	DESC
1733	Name the Marvel team loosely based on DC 's Justice League of America ?	HUM
1734	What did a 16th-century Aztec athlete get for putting a rubber ball through a ring ?	ENTY
1735	What populous state covers 49 , 576 square miles ?	LOC
1736	What college football team did Knute Rockne build into a power ?	HUM
1737	In what state was there an 11 million gallon oil spill ?	LOC
1738	When did Aldous Huxley write , `` Brave New World '' ?	NUM
1739	What country did the ancient Romans refer to as Hibernia ?	LOC
1740	In what high-risk business venture did Jimmy the Greek bet and lose ?	HUM
1741	What do chefs call The Master Spice ?	ENTY
1742	What is the abbreviation of General Motors ?	ABBR
1743	What is a Devo hat ?	DESC
1744	How long was the longest hiccup attack ?	NUM
1745	What kind of weapons were used in Medieval warfare ?	ENTY
1746	How many people live in Tokyo ?	NUM
1747	What fruit-topped actress was known as The Brazilian Bombshell ?	HUM
1748	What are birds descendents of ?	ENTY
1749	When the Tutankhamun exhibit was on display in the U.S. , what moving company transported it ?	HUM
1750	Which Kevin Costner movie involves the Sioux Indians ?	ENTY
1751	Who played the title role in My Favorite Martian ?	HUM
1752	How does a scientific calculator work ?	DESC
1753	What is a fear of fur ?	ENTY
1754	Who invented the game Scrabble ?	HUM
1755	What part of their attire were `` pothooks '' to cowboys of the Old West ?	ENTY
1756	When did humans first begin to write history seriously ?	NUM
1757	Why do we have to go to school ?	DESC
1758	What is Toulmin logic ?	DESC
1759	A corgi is a kind of what ?	ENTY
1760	What city in the U.S. experienced the most growth recently ?	LOC
1761	What is a dangling participle ?	DESC
1762	What Tokyo street glitters with famed department stores and nightclubs ?	LOC
1763	What was the average life expectancy during the Stone Age ?	NUM
1764	When Mighty Mouse was conceived , what was his original name ?	HUM
1765	What is the origin of the peace symbol ?	DESC
1766	What group starred in the movie Rock Around the Clock ?	HUM
1767	How many U.S. presidents were assassinated during Queen Victoria 's reign ?	NUM
1768	When was the first flush toilet invented ?	NUM
1769	What is Nathan Hamill 's role in the new Star Wars prequel ?	HUM
1770	How many disks does each player have in a four-handed game of Crokinole ?	NUM
1771	How old is the sun ?	NUM
1772	What percentage of children between the ages of two and eleven watch ` The Simpsons ' ?	NUM
1773	How can I find a list of , fax and or email , addresses for human resource departments in Massachusetts ?	DESC
1774	How do I write to my Congressman ?	DESC
1775	How many years ago did Led Zeppelin release its last album ?	NUM
1776	What is the term for a group of geese ?	ENTY
1777	How many people was Randy Craft convicted of killing ?	NUM
1778	What was the name of the famous battle between Texas and Mexico ?	ENTY
1779	What country are you in if you woo in the Wu dialect ?	LOC
1780	What do you call a Poker hand with five cards of the same suit ?	ENTY
1781	What New York Yankee was known as The Iron Horse ?	HUM
1782	Who is considered The First Lady of the American Stage ?	HUM
1783	Who penned : `` Neither a borrower nor a lender be '' ?	HUM
1784	What is moxie ?	DESC
1785	What was the first Sam Spade novel ?	ENTY
1786	What song did Patti Page set people dancing to in 1950 ?	ENTY
1787	Who headed Hitler 's infamous Gestapo ?	HUM
1788	What South American city features the exclusive Copacabana Beach and Ipanema ?	LOC
1789	What German city do Italians call The Monaco of Bavaria ?	LOC
1790	What island group contains Jersey , Guernsey , Sark and Herm ?	LOC
1791	What is a fear of strong light ?	ENTY
1792	What is a person called that likes fire ?	HUM
1793	Where was helium first discovered , hence its name ?	LOC
1794	What is the best way to overcome a fear ?	ENTY
1795	Name a South African diamond producer ?	HUM
1796	Who made the musical plea Be True to Your School ?	HUM
1797	What French designer declared : `` The jean is the destructor ! It is a dictator ! It is destroying creativity. The jean must be stopped ! '' ?	HUM
1798	What season is the setting for Shakespeare 's Midsummer Night 's Dream ?	NUM
1799	Name a band which was famous in the 1960 's .	HUM
1800	What comedian was banned from the Ed Sullivan Show for allegedly making an obscene gesture at the show 's host ?	HUM
1801	What country is the setting for Edgar Allan Poe 's The Pit and the Pendulum ?	LOC
1802	What Apollo 11 astronaut minded the store while Armstrong and Aldrin made history ?	HUM
1803	What is the current ticket fare from from Cairo to Barbados ?	NUM
1804	What is the second highest mountain peak in the world ?	LOC
1805	What Good Little Witch is Casper 's girlfriend ?	HUM
1806	In which Tennessee Williams play is one of the characters killed and devoured by a mob of starving children ?	ENTY
1807	What was the nickname of Frederick I , Holy Roman Emperor and King of Germany ?	HUM
1808	What war did the Potsdam Conference follow ?	ENTY
1809	What 's the most common non-contagious disease in the world ?	ENTY
1810	What month , date , and year did Charles I die ?	NUM
1811	How many cubic feet of space does a gallon of water occupy ?	NUM
1812	What is the hair style called that new military recruits receive ?	DESC
1813	What 's the world 's largest cathedral ?	LOC
1814	What effects do nitrates have on the environment ?	DESC
1815	What is Nitrox diving ?	DESC
1816	What three European countries begin with the letter A ?	LOC
1817	What happened in the Long March ?	DESC
1818	What was the name of Hitler 's unsuccessful attempt to overthrow the Bavarian government in Munich in 1923 ?	ENTY
1819	How can I find online spelling ?	DESC
1820	How many earthworms are in a single pasture ?	NUM
1821	Who made Stonehenge ?	HUM
1822	What is the average hourly rate of American workers ?	NUM
1823	What sport features snatches and clean jerks ?	ENTY
1824	Who 's the founder and editor of The National Review ?	HUM
1825	In what year did they build the Berlin Wall ?	NUM
1826	Who was the first governor of West Virginia ?	HUM
1827	What 's the world 's longest suspension bridge ?	LOC
1828	What Asian city boasts the world 's biggest bowling alley ?	LOC
1829	When will Jean Aeul publish her next book ?	NUM
1830	What famous soldier was born in Europe , died in Asia , and was laid to rest in Africa ?	HUM
1831	When it 's time to relax , what one beer stands clear ?	ENTY
1832	What culture developed the idea of potlatch ?	HUM
1833	What baseball team became the Minnesota Twins ?	HUM
1834	What kind of guitar did Jimi Hendrix play ?	ENTY
1835	What were the first three cities to have a population of more than a million ?	LOC
1836	What constellation contains the twins Castor and Pollux ?	LOC
1837	How many meters are in a mile ?	NUM
1838	What is a gas release event ?	DESC
1839	What James Michener book is subtitled Spanish Travels and Reflections ?	ENTY
1840	What famed London criminal court was once a feudal castle ?	LOC
1841	How many milligrams are in a gram ?	NUM
1842	What stringed weapon fires a bolt ?	ENTY
1843	Where did he get the title ?	LOC
1844	Where can I find a large list of 5 to 6 letter words ?	LOC
1845	What is Michael Jackson 's middle name ?	HUM
1846	Who was the first woman to fly solo across the Atlantic ?	HUM
1847	How long is human gestation ?	NUM
1848	What does `` Semper Fidelis '' mean ?	DESC
1849	What kind of suit did true hepcats wear in 1942 ?	ENTY
1850	Where does Mother Angelica live ?	LOC
1851	How can I find out my Moon sign ?	DESC
1852	Why does a candle need a wick ?	DESC
1853	Musician Ray Charles plays what instrument ?	ENTY
1854	What were the three prophecies the witches make to Macbeth ?	DESC
1855	What 's the population of Mississippi ?	NUM
1856	Who started the Dominos Pizza chain ?	HUM
1857	In what film did Steven Spielberg 's dog star as the main character 's dog ?	ENTY
1858	What are all the different kinds of contraceptives ?	ENTY
1859	How old is Jeremy Piven ?	NUM
1860	What is the history of yo-yos ?	DESC
1861	Which NBA players had jersey number 0 ?	HUM
1862	What chocolate company gives you a one-pound kiss ?	HUM
1863	How does one correctly pronounce ` qigong ' ?	DESC
1864	What fossilizes to form coprolite ?	ENTY
1865	How many colored squares are there on a Rubik 's Cube ?	NUM
1866	Where is the Mayo Clinic ?	LOC
1867	What Caribbean island is sometimes called Little England ?	LOC
1868	Where is Amsterdam ?	LOC
1869	Where can I find the lyrics for the song ` Getting Married Today ' from the musical ` Company ' ?	LOC
1870	What 's another word that means `` knows all '' ?	ENTY
1871	Who is the famous movie star who also acted as sewer commissioner of Provo Canyon , Utah ?	HUM
1872	What Australian city became the home of the America 's Cup ?	LOC
1873	Aspartame is known by what other name ?	ENTY
1874	What is pasta ?	DESC
1875	Name Randy Craft 's lawyer .	HUM
1876	What color is `` ash '' ?	ENTY
1877	What is the best distance education university or college ?	HUM
1878	What river does the Grand Coulee Dam dam ?	LOC
1879	How often are quadruplets born ?	NUM
1880	How does psorisis disappear ?	DESC
1881	How many presidents have died on the 4th of July ?	NUM
1882	What three colors are on the French flag ?	ENTY
1883	What 's the mystery of the Bermuda Triangle ?	DESC
1884	What are the seven wonders of the world ?	ENTY
1885	What does CNN stand for ?	ABBR
1886	What is a person called that likes fire ?	HUM
1887	Who portrayed Vincent Van Gogh in Lust for Life ?	HUM
1888	What constitutes an adult ?	ENTY
1889	What is a reliable site that I can download Heretic 2 ?	LOC
1890	What is a neurosurgeon ?	DESC
1891	What baseball outcome required nine balls in 1879 , eight balls in 1880 and seven balls in 1881 ?	ENTY
1892	What are amaretto biscuits ?	DESC
1893	What common ailment can 't you catch at the North Pole ?	ENTY
1894	What season begins with the vernal equinox ?	NUM
1895	Who was known as the Time Master in comic books ?	HUM
1896	What was the name of Roy Rogers 's dog ?	ENTY
1897	What TV series changed the names to protect the innocent ?	ENTY
1898	Where did cable cars first roll down Clay Street in 1873 ?	LOC
1899	What is George Lucas 's e-mail address ?	LOC
1900	How do I give a good massage ?	DESC
1901	Who is the father of the computer ?	HUM
1902	What is the origin of `` jiggy '' as in getting jiggy with it ?	DESC
1903	What is the origin of a.m. and p.m. ?	DESC
1904	What is the definition of cosmology ?	DESC
1905	What is the name of the dog on the Cracker Jack box ?	ENTY
1906	What are manifest and latent function theories ?	DESC
1907	What William Styron book is about a black preacher who leads a slave revolt ?	ENTY
1908	What is the chemical symbol for nitrogen ?	ENTY
1909	Who said : `` Old soldiers never die ; they just fade away '' ?	HUM
1910	What National League baseball team employed 72 third baseemen in its first 2 seasons ?	HUM
1911	What are snowballs to a hot-rodder ?	DESC
1912	How long were Tyrannosaurus Rex 's teeth ?	NUM
1913	What is the origin of the word Ozymandias ?	DESC
